MESE,ANNO,REGIONE,COD ISTAT REGIONE,STATO ESTERO,CODICE ISO STATO,TIPO SOGGETTO,RETTIFICHE,CAMBI DI RESIDENZA,AUTOCERTIFICAZIONI,VISURE,CERTIFICATI,TOTALE
10,2022,LOMBARDIA,03,REPUBBLICA DOMINICANA,DOM,AIRE,1,0,3,0,0,4
10,2022,LAZIO,12,SVIZZERA,CHE,AIRE,0,0,4,0,3,7
10,2022,SARDEGNA,20,TUNISIA,TUN,AIRE,0,0,1,0,0,1
10,2022,PIEMONTE,01,SVIZZERA,CHE,AIRE,0,0,0,2,0,2
10,2022,ABRUZZO,13,FRANCIA,FRA,AIRE,2,0,0,1,0,3
10,2022,TOSCANA,09,AUSTRIA,AUT,AIRE,0,0,0,2,0,2
10,2022,LOMBARDIA,03,STATI UNITI D'AMERICA,USA,AIRE,4,3,0,2,4,13
10,2022,LAZIO,12,REPUBBLICA DOMINICANA,DOM,AIRE,0,0,0,0,1,1
10,2022,SICILIA,19,CANADA,CAN,AIRE,0,0,0,0,2,2
10,2022,EMILIA ROMAGNA,08,GERMANIA,DEU,AIRE,0,0,0,0,1,1
10,2022,SICILIA,19,PANAMA,PAN,AIRE,0,1,0,0,0,1
10,2022,ABRUZZO,13,IRLANDA,IRL,AIRE,0,1,0,0,0,1
10,2022,CALABRIA,18,BRASILE,BRA,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,LETTONIA,LVA,AIRE,0,1,0,0,0,1
10,2022,CALABRIA,18,GERMANIA,DEU,AIRE,0,1,0,0,0,1
10,2022,VENETO,05,BELGIO,BEL,AIRE,0,1,0,0,0,1
10,2022,LOMBARDIA,03,REPUBBLICA POPOLARE CINESE,CHN,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,TUNISIA,TUN,AIRE,2,0,0,0,0,2
10,2022,TOSCANA,09,STATI UNITI D'AMERICA,USA,AIRE,1,0,0,0,0,1
10,2022,PIEMONTE,01,BRASILE,BRA,AIRE,1,0,0,0,0,1
10,2022,UMBRIA,10,AUSTRALIA,AUS,AIRE,1,0,0,0,0,1
