MESE,ANNO,TIPO SOGGETTO,TIPOLOGIA DI RETTIFICA,STATO DI LAVORAZIONE,TOTALE
12,2020,Residenti,RESIDENZA: PROVINCIA,IN LAVORAZIONE,1
12,2020,Residenti,RESIDENZA: SPECIE,IN LAVORAZIONE,6
12,2020,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,19
1,2021,Residenti,ATTO DI NASCITA: COMUNEREGISTRAZIONE,IN LAVORAZIONE,1
1,2021,Residenti,CARTA DI IDENTITÀ: NUMERO,IN LAVORAZIONE,1
1,2021,Residenti,GENERALITÀ: COGNOME,ACCOLTA,2
1,2021,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,6
1,2021,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,2
1,2021,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,1
1,2021,Residenti,GENERALITÀ: NOME,ACCOLTA,3
1,2021,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,12
1,2021,Residenti,GENERALITÀ: NOME,RESPINTA,4
1,2021,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,1
1,2021,Residenti,LEGAME PARENTELA,IN LAVORAZIONE,5
1,2021,Residenti,RESIDENZA: CAP,IN LAVORAZIONE,1
1,2021,Residenti,RESIDENZA: SPECIE,IN LAVORAZIONE,1
1,2021,Residenti,SCIOGLIMENTO UNIONE: DATAEVENTO,IN LAVORAZIONE,1
1,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,1
1,2021,Residenti,UNIONE CIVILE: CONIUGENOME,IN LAVORAZIONE,1
1,2021,Residenti,UNIONE CIVILE: LUOGOEVENTO,IN LAVORAZIONE,1
2,2021,AIRE,GENERALITÀ: COGNOME,IN LAVORAZIONE,6
2,2021,AIRE,GENERALITÀ: COGNOME,RESPINTA,1
2,2021,AIRE,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,1
2,2021,AIRE,GENERALITÀ: NOME,ACCOLTA,1
2,2021,AIRE,GENERALITÀ: NOME,IN LAVORAZIONE,2
2,2021,AIRE,GENERALITÀ: NOME,RESPINTA,1
2,2021,AIRE,LEGAME PARENTELA,IN LAVORAZIONE,1
2,2021,AIRE,RESIDENZA: CIVICOESTERO,RESPINTA,1
2,2021,AIRE,RESIDENZA: INDIRIZZOESTERO,IN LAVORAZIONE,1
2,2021,AIRE,RESIDENZA: LOCALITAESTERA,ACCOLTA,1
2,2021,AIRE,STATO CIVILE: STATOCIVILE,ACCOLTA,1
2,2021,AIRE,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,2
2,2021,Residenti,ATTO DI NASCITA: COMUNEREGISTRAZIONE,IN LAVORAZIONE,2
2,2021,Residenti,ATTO DI NASCITA: COMUNEREGISTRAZIONE,RESPINTA,1
2,2021,Residenti,ATTO DI NASCITA: PARTE,IN LAVORAZIONE,1
2,2021,Residenti,CARTA DI IDENTITÀ: CARTACEAELETTRONICA,RESPINTA,1
2,2021,Residenti,CARTA DI IDENTITÀ: COMUNERILASCIO,RESPINTA,1
2,2021,Residenti,CARTA DI IDENTITÀ: DATAANNULLAMENTO,RESPINTA,1
2,2021,Residenti,CARTA DI IDENTITÀ: DATARILASCIO,IN LAVORAZIONE,1
2,2021,Residenti,CARTA DI IDENTITÀ: DATARILASCIO,RESPINTA,1
2,2021,Residenti,CARTA DI IDENTITÀ: DATASCADENZA,RESPINTA,1
2,2021,Residenti,CARTA DI IDENTITÀ: NUMERO,IN LAVORAZIONE,2
2,2021,Residenti,CARTA DI IDENTITÀ: NUMERO,RESPINTA,1
2,2021,Residenti,GENERALITÀ: COGNOME,ACCOLTA,5
2,2021,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,36
2,2021,Residenti,GENERALITÀ: COGNOME,RESPINTA,11
2,2021,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,1
2,2021,Residenti,GENERALITÀ: DATANASCITA,RESPINTA,2
2,2021,Residenti,GENERALITÀ: LUOGONASCITA,ACCOLTA,1
2,2021,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,5
2,2021,Residenti,GENERALITÀ: NOME,ACCOLTA,4
2,2021,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,23
2,2021,Residenti,GENERALITÀ: NOME,RESPINTA,3
2,2021,Residenti,GENERALITÀ: SESSO,ACCOLTA,1
2,2021,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,3
2,2021,Residenti,GENERALITÀ: SESSO,RESPINTA,1
2,2021,Residenti,LEGAME PARENTELA,ACCOLTA,1
2,2021,Residenti,LEGAME PARENTELA,IN LAVORAZIONE,9
2,2021,Residenti,LEGAME PARENTELA,RESPINTA,3
2,2021,Residenti,MATRIMONIO: DATAEVENTO,IN LAVORAZIONE,1
2,2021,Residenti,RESIDENZA: CAP,IN LAVORAZIONE,1
2,2021,Residenti,RESIDENZA: CAP,RESPINTA,1
2,2021,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,1
2,2021,Residenti,RESIDENZA: CIVICO,RESPINTA,1
2,2021,Residenti,RESIDENZA: COMUNE,IN LAVORAZIONE,2
2,2021,Residenti,RESIDENZA: COMUNE,RESPINTA,1
2,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,IN LAVORAZIONE,2
2,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,RESPINTA,1
2,2021,Residenti,RESIDENZA: PROVINCIA,IN LAVORAZIONE,2
2,2021,Residenti,RESIDENZA: PROVINCIA,RESPINTA,1
2,2021,Residenti,RESIDENZA: SPECIE,IN LAVORAZIONE,3
2,2021,Residenti,RESIDENZA: SPECIE,RESPINTA,1
2,2021,Residenti,SCIOGLIMENTO UNIONE: DATAEVENTO,IN LAVORAZIONE,1
2,2021,Residenti,STATO CIVILE: STATOCIVILE,ACCOLTA,3
2,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,4
2,2021,Residenti,STATO CIVILE: STATOCIVILE,RESPINTA,2
2,2021,Residenti,UNIONE CIVILE: DATAEVENTO,IN LAVORAZIONE,1
3,2021,Residenti,ATTO DI NASCITA: COMUNEREGISTRAZIONE,IN LAVORAZIONE,2
3,2021,Residenti,CARTA DI IDENTITÀ: NUMERO,IN LAVORAZIONE,1
3,2021,Residenti,GENERALITÀ: COGNOME,ACCOLTA,3
3,2021,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,67
3,2021,Residenti,GENERALITÀ: COGNOME,RESPINTA,1
3,2021,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,1
3,2021,Residenti,GENERALITÀ: DATANASCITA,RESPINTA,1
3,2021,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,2
3,2021,Residenti,GENERALITÀ: NOME,ACCOLTA,1
3,2021,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,17
3,2021,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,3
3,2021,Residenti,MATRIMONIO: CONIUGECOGNOME,IN LAVORAZIONE,1
3,2021,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,1
3,2021,Residenti,RESIDENZA: CIVICO,RESPINTA,1
3,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,RESPINTA,1
3,2021,Residenti,RESIDENZA: FRAZIONE,IN LAVORAZIONE,1
3,2021,Residenti,RESIDENZA: INTERNO1,IN LAVORAZIONE,1
3,2021,Residenti,RESIDENZA: LETTERA,IN LAVORAZIONE,1
3,2021,Residenti,RESIDENZA: PIANO,IN LAVORAZIONE,1
3,2021,Residenti,RESIDENZA: SPECIE,IN LAVORAZIONE,6
3,2021,Residenti,SCIOGLIMENTO UNIONE: LUOGOEVENTO,IN LAVORAZIONE,1
3,2021,Residenti,STATO CIVILE: STATOCIVILE,ACCOLTA,6
3,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,9
3,2021,Residenti,STATO CIVILE: STATOCIVILE,RESPINTA,2
3,2021,Residenti,UNIONE CIVILE: LUOGOEVENTO,IN LAVORAZIONE,1
4,2021,AIRE,GENERALITÀ: COGNOME,IN LAVORAZIONE,1
4,2021,AIRE,RESIDENZA: LOCALITAESTERA,IN LAVORAZIONE,1
4,2021,AIRE,RESIDENZA: PROVINCIACONTEA,IN LAVORAZIONE,1
4,2021,Residenti,ATTO DI NASCITA: PARTE,IN LAVORAZIONE,1
4,2021,Residenti,CARTA DI IDENTITÀ: COMUNERILASCIO,IN LAVORAZIONE,2
4,2021,Residenti,CARTA DI IDENTITÀ: DATARILASCIO,IN LAVORAZIONE,1
4,2021,Residenti,GENERALITÀ: CODICEFISCALE,IN LAVORAZIONE,1
4,2021,Residenti,GENERALITÀ: COGNOME,ACCOLTA,5
4,2021,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,36
4,2021,Residenti,GENERALITÀ: COGNOME,IRRICEVIBILE,3
4,2021,Residenti,GENERALITÀ: COGNOME,RESPINTA,2
4,2021,Residenti,GENERALITÀ: DATANASCITA,ACCOLTA,1
4,2021,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,4
4,2021,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,5
4,2021,Residenti,GENERALITÀ: NOME,ACCOLTA,1
4,2021,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,29
4,2021,Residenti,GENERALITÀ: NOME,IRRICEVIBILE,3
4,2021,Residenti,GENERALITÀ: NOME,RESPINTA,1
4,2021,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,8
4,2021,Residenti,GENERALITÀ: SESSO,IRRICEVIBILE,1
4,2021,Residenti,LEGAME PARENTELA,ACCOLTA,1
4,2021,Residenti,LEGAME PARENTELA,IN LAVORAZIONE,6
4,2021,Residenti,MATRIMONIO: LUOGOEVENTO,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: CAP,ACCOLTA,1
4,2021,Residenti,RESIDENZA: CAP,IN LAVORAZIONE,4
4,2021,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,4
4,2021,Residenti,RESIDENZA: COLORE,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: COMUNE,IN LAVORAZIONE,3
4,2021,Residenti,RESIDENZA: CORTE,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,ACCOLTA,2
4,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,IN LAVORAZIONE,4
4,2021,Residenti,RESIDENZA: ESPINTERNO1,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: ESPINTERNO2,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: ESPONENTE1,IN LAVORAZIONE,4
4,2021,Residenti,RESIDENZA: FRAZIONE,IN LAVORAZIONE,4
4,2021,Residenti,RESIDENZA: INTERNO1,IN LAVORAZIONE,3
4,2021,Residenti,RESIDENZA: INTERNO2,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: ISOLATO,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: LETTERA,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: METRICO,IN LAVORAZIONE,1
4,2021,Residenti,RESIDENZA: NUI,IN LAVORAZIONE,1
4,2021,Residenti,RESIDENZA: PIANO,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: PROGSNC,IN LAVORAZIONE,2
4,2021,Residenti,RESIDENZA: PROVINCIA,IN LAVORAZIONE,4
4,2021,Residenti,RESIDENZA: SCALA,IN LAVORAZIONE,3
4,2021,Residenti,RESIDENZA: SCALAESTERNA,IN LAVORAZIONE,1
4,2021,Residenti,RESIDENZA: SECONDARIO,IN LAVORAZIONE,1
4,2021,Residenti,RESIDENZA: SPECIE,ACCOLTA,1
4,2021,Residenti,RESIDENZA: SPECIE,IN LAVORAZIONE,6
4,2021,Residenti,STATO CIVILE: STATOCIVILE,ACCOLTA,1
4,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,10
4,2021,Residenti,UNIONE CIVILE: ANNO,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: CODICEFISCALE,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: COMUNEREGISTRAZIONE,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: CONIUGECOGNOME,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: CONIUGENOME,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: DATAEVENTO,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: DATAFORMAZIONEATTO,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: DATANASCITA,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: LUOGOEVENTO,IN LAVORAZIONE,2
4,2021,Residenti,UNIONE CIVILE: LUOGONASCITA,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: NUMEROATTO,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: PARTE,IN LAVORAZIONE,1
4,2021,Residenti,UNIONE CIVILE: SERIE,IN LAVORAZIONE,1
5,2021,Residenti,ATTO DI NASCITA: ANNO,IN LAVORAZIONE,1
5,2021,Residenti,ATTO DI NASCITA: COMUNEREGISTRAZIONE,IN LAVORAZIONE,1
5,2021,Residenti,ATTO DI NASCITA: PARTE,IN LAVORAZIONE,1
5,2021,Residenti,ATTO DI NASCITA: SERIE,IN LAVORAZIONE,1
5,2021,Residenti,CARTA DI IDENTITÀ: NUMERO,IRRICEVIBILE,1
5,2021,Residenti,GENERALITÀ: CODICEFISCALE,IN LAVORAZIONE,1
5,2021,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,6
5,2021,Residenti,GENERALITÀ: COGNOME,RESPINTA,1
5,2021,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,2
5,2021,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,2
5,2021,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,3
5,2021,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,3
5,2021,Residenti,RESIDENZA: COMUNE,IN LAVORAZIONE,1
5,2021,Residenti,RESIDENZA: ISOLATO,IRRICEVIBILE,1
5,2021,Residenti,STATO CIVILE: STATOCIVILE,ACCOLTA,1
5,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,2
6,2021,AIRE,GENERALITÀ: COGNOME,IN LAVORAZIONE,1
6,2021,Residenti,GENERALITÀ: CODICEFISCALE,ACCOLTA,2
6,2021,Residenti,GENERALITÀ: CODICEFISCALE,IN LAVORAZIONE,1
6,2021,Residenti,GENERALITÀ: COGNOME,ACCOLTA,2
6,2021,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,4
6,2021,Residenti,GENERALITÀ: DATANASCITA,ACCOLTA,1
6,2021,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,1
6,2021,Residenti,GENERALITÀ: LUOGONASCITA,ACCOLTA,1
6,2021,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,1
6,2021,Residenti,GENERALITÀ: NOME,ACCOLTA,2
6,2021,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,1
6,2021,Residenti,GENERALITÀ: NOME,IRRICEVIBILE,1
6,2021,Residenti,GENERALITÀ: NOME,RESPINTA,1
6,2021,Residenti,GENERALITÀ: SESSO,ACCOLTA,2
6,2021,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,1
6,2021,Residenti,GENERALITÀ: SESSO,IRRICEVIBILE,1
6,2021,Residenti,GENERALITÀ: SESSO,RESPINTA,1
6,2021,Residenti,LEGAME PARENTELA,ACCOLTA,5
6,2021,Residenti,LEGAME PARENTELA,IN LAVORAZIONE,2
6,2021,Residenti,RESIDENZA: CAP,ACCOLTA,1
6,2021,Residenti,RESIDENZA: CIVICO,ACCOLTA,1
6,2021,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,1
6,2021,Residenti,RESIDENZA: CIVICO,IRRICEVIBILE,1
6,2021,Residenti,RESIDENZA: COMUNE,ACCOLTA,1
6,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,ACCOLTA,1
6,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,IRRICEVIBILE,1
6,2021,Residenti,RESIDENZA: PROVINCIA,ACCOLTA,1
6,2021,Residenti,RESIDENZA: SPECIE,ACCOLTA,1
6,2021,Residenti,STATO CIVILE: STATOCIVILE,ACCOLTA,1
6,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,1
7,2021,AIRE,GENERALITÀ: COGNOME,IN LAVORAZIONE,1
7,2021,AIRE,GENERALITÀ: NOME,IN LAVORAZIONE,1
7,2021,AIRE,LEGAME PARENTELA,IN LAVORAZIONE,1
7,2021,Residenti,ATTO DI NASCITA: ANNO,IN LAVORAZIONE,1
7,2021,Residenti,ATTO DI NASCITA: PARTE,IN LAVORAZIONE,1
7,2021,Residenti,ATTO DI NASCITA: SERIE,IN LAVORAZIONE,1
7,2021,Residenti,CARTA DI IDENTITÀ: CARTACEAELETTRONICA,IN LAVORAZIONE,1
7,2021,Residenti,CARTA DI IDENTITÀ: COMUNERILASCIO,IN LAVORAZIONE,2
7,2021,Residenti,CARTA DI IDENTITÀ: DATARILASCIO,IN LAVORAZIONE,1
7,2021,Residenti,CARTA DI IDENTITÀ: DATASCADENZA,IN LAVORAZIONE,1
7,2021,Residenti,GENERALITÀ: CODICEFISCALE,IN LAVORAZIONE,1
7,2021,Residenti,GENERALITÀ: COGNOME,ACCOLTA,1
7,2021,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,8
7,2021,Residenti,GENERALITÀ: DATANASCITA,IN LAVORAZIONE,3
7,2021,Residenti,GENERALITÀ: LUOGONASCITA,IN LAVORAZIONE,3
7,2021,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,5
7,2021,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,3
7,2021,Residenti,LEGAME PARENTELA,IN LAVORAZIONE,5
7,2021,Residenti,RESIDENZA: CAP,IN LAVORAZIONE,2
7,2021,Residenti,RESIDENZA: CIVICO,ACCOLTA,1
7,2021,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,2
7,2021,Residenti,RESIDENZA: COMUNE,IN LAVORAZIONE,2
7,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,IN LAVORAZIONE,3
7,2021,Residenti,RESIDENZA: FRAZIONE,IN LAVORAZIONE,1
7,2021,Residenti,RESIDENZA: PROVINCIA,IN LAVORAZIONE,2
7,2021,Residenti,RESIDENZA: SPECIE,IN LAVORAZIONE,2
7,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,3
8,2021,Residenti,GENERALITÀ: COGNOME,ACCOLTA,1
8,2021,Residenti,GENERALITÀ: COGNOME,IN LAVORAZIONE,3
8,2021,Residenti,GENERALITÀ: NOME,IN LAVORAZIONE,1
8,2021,Residenti,GENERALITÀ: SESSO,IN LAVORAZIONE,1
8,2021,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,2
8,2021,Residenti,RESIDENZA: SPECIE,IN LAVORAZIONE,2
8,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,1
9,2021,AIRE,GENERALITÀ: NOME,IN LAVORAZIONE,1
